"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97"
"11",0,0,0,0,0,0,0,0,0,2,5,8,7,18,3,1,2,2,4,8,14,9,24,18,22,7,6,8,8,16,13,18,18,11,23,26,36,30,38,68,31,48,64,46,56,48,31,32,35,26,26,21,8,10,9,7,6,5,5,2,2,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,1,6,21,47,76,49,17,1,0,4,7,6,7,19,14,14,15,7,12,16,25,25,36,25,25,24,20,17,11,19,25,19,21,17,28,23,25,34,37,29,27,20,23,23,21,15,9,12,3,4,3,6,3,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,2,3,8,11,8,4,2,2,7,11,34,45,56,59,51,33,21,20,15,17,21,24,15,19,31,29,15,18,29,28,33,19,23,22,25,17,15,17,11,21,15,22,21,18,13,14,16,7,8,9,6,3,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,4,4,12,19,9,4,1,0,1,2,12,13,18,18,6,18,14,31,36,58,70,42,68,46,44,31,23,31,25,25,21,25,19,13,19,13,21,19,15,23,17,17,12,11,9,14,12,7,7,5,8,4,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,4,10,16,11,6,1,2,2,6,10,19,10,15,18,13,9,13,9,13,18,29,28,45,44,61,65,70,41,53,58,31,26,29,27,28,17,19,13,16,12,8,11,10,9,10,7,4,7,4,1,0,3,4,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,2,5,10,9,4,1,0,0,1,4,5,9,11,11,19,9,10,12,20,20,21,23,24,26,30,29,39,27,55,43,42,53,43,51,45,41,32,26,26,23,21,23,18,6,12,9,9,5,10,8,3,4,2,2,1,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,5,18,19,11,1,1,1,0,3,2,7,7,16,7,5,6,13,12,16,23,20,23,17,17,24,25,39,37,34,27,55,45,45,41,40,38,45,47,36,38,29,26,17,9,15,6,9,3,4,4,2,2,2,2,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,4,2,9,2,5,1,0,2,2,5,12,17,18,23,15,10,9,12,10,9,18,12,10,25,31,22,27,31,37,38,34,33,42,35,32,39,36,36,38,38,26,27,34,22,27,24,14,9,13,8,6,2,0,2,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,1,3,19,41,55,36,10,2,0,1,1,5,1,5,7,9,9,11,13,8,16,20,27,19,19,28,21,17,20,22,29,26,30,36,32,34,37,41,30,16,28,32,30,25,24,16,13,15,11,9,12,12,5,3,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,3,11,19,19,17,3,0,2,3,10,23,40,40,60,45,21,18,13,8,15,10,12,16,13,23,25,25,32,28,34,25,27,29,22,25,23,20,19,23,28,16,21,16,21,7,19,10,11,11,10,12,4,1,3,3,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
