"","x"
"initial1",1.02902746491901
"initial2",0.980882160536462
"initial3",0.978496589352687
"initial4",1.24385121899078
"initial5",0.948540238163162
"initial6",1.27551497975549
"pulse_down1",0.252498425636976
"pulse_down2",0.362881860364546
"pulse_down3",0.335542361346013
"pulse_down4",0.3408365568656
"pulse_down5",0.350454786982346
"pulse_down6",0.301659230148174
"pulse_up1",0.931373169742297
"pulse_up2",0.828939741117924
"pulse_up3",0.821474396711749
"pulse_up4",1.03784855054793
"pulse_up5",1.06369177347336
"pulse_up6",0.994575484651096
"pulse_up7",1.15296336775722
"pulse_up8",1.39663307903985
